run,expression,n_vectors,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time,sd
10_100,stats,60,3.597860923036933e-4,3.7099106702953577e-4,2610.138775374546,14208,0,1000,0,0.3831213916419074,4.510741379783463e-5
10_100,proxy,60,5.826330743730068e-4,6.336134974844754e-4,1368.2680196424096,45512,2.742020079443707,998,2,0.7293892612215132,3.903785768525525e-4
10_100,proxyC,60,6.576630985364318e-4,7.491630967706442e-4,1209.8745859510116,214480,3.6405453940351404,997,3,0.8240523535059765,4.6516915822165613e-4
10_100,distances,60,4.248006734997034e-5,5.783909000456333e-5,13219.800708780163,100992,26.49258659074181,998,2,0.07549281732644886,2.5881520708091017e-4
10_100,distances_matrix,60,1.4306907542049885e-4,1.6543507808819413e-4,5487.293052274421,259408,22.037321495077997,996,4,0.1815102620748803,4.0529426325902515e-4
10_100,Rfast,60,4.381209146231413e-5,4.803016781806946e-5,20535.18933184985,60248,20.555745076926776,999,1,0.048648200114257634,1.6791745208062777e-4
10_100,rcpp_serial,60,5.717703606933355e-5,6.0293939895927906e-5,15198.879997182306,31400,15.21409409127358,999,1,0.06572852737735957,1.4227274279965196e-4
10_100,rcpp_parallel_8,60,1.2533157132565975e-5,1.6270088963210583e-5,57447.82894541268,31400,0,1000,0,0.017407098202966154,8.868898842423198e-6
10_100,fortran_serial,60,7.252616342157125e-5,7.940904470160604e-5,11986.917561119095,86544,24.021878879998187,998,2,0.08325743419118226,2.2851168394824283e-4
10_100,fortran_parallel_8,60,7.246609311550856e-5,7.847259985283017e-5,12457.17831103883,86544,24.964285192462583,998,2,0.08011445088777691,1.8722726953019822e-4
10_100,c_fortran_serial,60,5.599495489150286e-5,5.7397468481212854e-5,16535.21680447418,0,0,1000,0,0.06047698145266622,6.882243154457725e-6
10_100,c_fortran_parallel_8,60,5.666702054440975e-5,5.75679587200284e-5,16943.63679774393,0,0,1000,0,0.059019206557422876,5.721822216488534e-6
10_100,GPUmatrix,60,4.797899164259434e-4,5.16979955136776e-4,1858.6057952881101,23296,1.8604662615496597,999,1,0.5374996691243723,3.0229282185527514e-4
10_100,parallelDist_1,60,1.5331804752349854e-4,1.5966896899044514e-4,5986.397004659239,17760,5.992389394053293,999,1,0.16687834088224918,2.771753055661766e-4
10_100,parallelDist_8,60,8.279597386717796e-5,1.3143644900992513e-4,7772.248004702393,17760,0,1000,0,0.1286629041424021,2.4607633255668477e-5
10_100,stats,70,5.69869065657258e-4,5.867760628461838e-4,1647.0673665538063,19368,0,1000,0,0.6071397080086172,7.050984143860668e-5
10_100,proxy,70,8.03588074631989e-4,8.761286153458059e-4,1058.4458303653303,61072,2.1211339285878363,998,2,0.9428918999619782,4.201534621008966e-4
10_100,proxyC,70,7.924771634861827e-4,8.878580993041396e-4,1070.4807391795594,290656,5.379300196882208,995,5,0.9294889329466969,5.012564631316872e-4
10_100,distances,70,5.147710908204317e-5,5.789863644167781e-5,14672.563742374079,137392,29.403935355459076,998,2,0.06801810627803206,2.3872287489122118e-4
10_100,distances_matrix,70,1.8701096996665e-4,2.1963194012641907e-4,4297.987079450138,352936,25.94358398058433,994,6,0.23127105354797095,3.786525259578237e-4
10_100,Rfast,70,6.496207788586617e-5,7.053208537399769e-5,13647.61337202908,81048,13.661274646675755,999,1,0.07319961173925549,1.886444912359666e-4
10_100,rcpp_serial,70,8.934794459491968e-5,9.211292490363121e-5,10575.540510986093,41800,10.586126637623718,999,1,0.09446325688622892,1.5436556723446603e-4
10_100,rcpp_parallel_8,70,2.0348001271486282e-5,2.2882944904267788e-5,38729.51521177706,41800,38.768283495272335,999,1,0.025794281042180955,1.8483816597679095e-4
10_100,fortran_serial,70,1.1290202382951975e-4,1.2154306750744581e-4,7913.695330357377,117744,15.859108878471698,998,2,0.12611049052793533,2.0650109331478675e-4
10_100,fortran_parallel_8,70,1.1036801151931286e-4,1.1975911911576986e-4,7670.668511405616,117744,15.372081185181594,998,2,0.13010600034613162,2.765539971033501e-4
10_100,c_fortran_serial,70,8.879706729203463e-5,9.009905625134706e-5,10868.44657446363,0,0,1000,0,0.0920094691682607,7.024068781466847e-6
10_100,c_fortran_parallel_8,70,8.972897194325924e-5,9.102991316467524e-5,10819.995389865906,0,0,1000,0,0.09242148115299642,4.921533882722303e-6
